boundary_error_ratio,boundary_local_snr,boundary_sec,case_id,case_type,checkpoint_best_snr,checkpoint_epoch,crest,duration_sec,hf_energy_ratio_3500_9000,inserted_silence_sec,latent_dim,local_snr_mean,local_snr_min,local_snr_p10,peak,post_boundary_snr,pre_boundary_snr,rms,run,silence_frac,snr,source_a,source_b,spectral_centroid,total_stride
0.3259961639848312,20.255779519676693,7.9019047619047615,concat_004,concat,23.20932652510616,11,7.5867673299207805,13.10766439909297,0.12221310287714005,0.23251063804318328,256,19.80078305749501,-66.45974518181727,6.394891752086402,0.45611572265725,25.51647345676723,22.809792794133294,0.060119903881964164,V16.1,0.03599701062887511,23.803809949321135,LJ040-0195,LJ047-0049,1436.7141144858376,128
0.3201273445919731,20.23288662811219,7.55360544217687,concat_005,concat,23.20932652510616,11,7.806221590792071,14.994285714285715,0.06057146564126015,0.1326863719002646,256,19.462532401971544,-18.775403670014686,-1.7570663502450772,0.476531982422875,23.955623020644662,26.79484785908922,0.06104515185389667,V16.1,0.03667912795199381,24.227149525271127,LJ019-0222,LJ036-0124,1008.2903987503242,128
0.24934948555304495,15.484463393461112,2.3407256235827663,concat_006,concat,23.20932652510616,11,7.949793737480414,11.371972789115647,0.12499118596315384,0.2373361222431034,256,19.78089659043204,-66.46440066185333,5.543038052255408,0.531707763672875,21.77567954939688,19.280610893000656,0.06688321498935432,V16.1,0.03781026671771312,23.76957650169922,LJ047-0092,LJ047-0202,1476.380521511094,128
0.29324712861866237,23.079171729405324,7.623265306122449,concat_007,concat,23.20932652510616,11,10.98386887526549,12.347210884353741,0.07279394567012787,0.15541955105716226,256,19.30948253838688,-66.46476930104097,-3.9251608048914504,0.801666259766625,23.257572095915457,27.37544772917031,0.0729857820463342,V16.1,0.03782469440526563,24.255043950079035,LJ047-0163,LJ001-0063,1082.4650070639314,128
0.3058364012625908,12.037242714820293,8.041224489795919,concat_008,concat,23.20932652510616,11,9.835027761217278,14.756281179138321,0.07169388234615326,0.2212681122765197,256,18.894316957214198,-66.46171716695403,2.82850538867052,0.620513916016625,21.619429418453464,25.494787986464186,0.06309223838225232,V16.1,0.03690806943351692,23.79018183798881,LJ038-0180,LJ003-0083,1027.2139458368845,128
0.3042839376202706,14.684884324647562,8.819092970521542,concat_009,concat,23.20932652510616,11,8.500638229694058,15.603809523809524,0.17063008248806,0.18567296657438942,256,19.65422700848009,-66.45776337176132,7.5496591319300315,0.622528076172875,25.29193191739235,20.256569676036598,0.07323309842663182,V16.1,0.03266834077380952,22.223575242275917,LJ005-0033,LJ042-0181,1818.1782162244465,128
0.483494822109526,23.14949022792389,6.148798185941043,concat_010,concat,23.20932652510616,11,8.151837197219258,14.907210884353741,0.09206975251436234,0.1274280849521926,256,20.668929872139792,-25.411068437821527,10.351509817850454,0.5096435546885,22.822050938690168,20.633063424706908,0.06251885830769496,V16.1,0.03836278232087227,24.073435753345123,LJ042-0174,LJ021-0069,1222.9046530555443,128
0.2805423198216023,21.86515573185804,3.7803628117913832,concat_011,concat,23.20932652510616,11,8.26723366890678,6.681541950113378,0.03179757669568062,0.20360743212272697,256,19.808946720045572,-66.46377207547646,9.87253203619712,0.574462890626,27.761774170713437,27.16933839426742,0.06948671268096586,V16.1,0.0435355125977411,24.35809975287638,LJ024-0021,LJ010-0118,809.1233312963909,128
nan,nan,nan,full_000,full,19.925409648001555,13,10.785311844847541,7.047256235827664,0.057239383459091187,0.0,256,17.022093646155923,-10.757186287704904,-2.775182718355155,0.7276611328135,nan,nan,0.06746778797595357,V16.2,0.034918142504118614,20.17614884893287,LJ033-0083,,1075.4766194365259,256
0.09037199161345133,9.224883462585689,3.9291156462585035,silence_000,silence,19.925409648001555,13,10.935298960583708,7.244625850340136,0.05723939463496208,0.19864733444418353,256,15.614998343297877,-60.99875100145921,-5.139728230550085,0.7276611328135,15.878124087038621,26.962718741063423,0.06654240871012486,V16.2,0.061366937099358976,20.139291182471496,LJ033-0083,,1075.4758919230167,256
nan,nan,nan,full_001,full,19.925409648001555,13,8.781181844731805,4.748480725623582,0.21428699791431427,0.0,256,19.52192447873309,-1.5952044655586348,12.31915818985837,0.52313232421975,nan,nan,0.05957425019330599,V16.2,0.0101619804400978,18.519447022296443,LJ007-0127,,2016.3246517189261,256
0.7482023125439449,18.48731396384396,2.04702947845805,silence_001,silence,19.925409648001555,13,9.19031222603481,5.201269841269841,0.21429890394210815,0.44857962743155966,256,13.86526316872262,-61.84965012048744,8.256973466058605,0.52313232421975,18.809507895460783,21.48009554478605,0.05692214925284066,V16.2,0.09558977399553571,18.450326009348878,LJ007-0127,,2016.390750524677,256
nan,nan,nan,full_002,full,19.925409648001555,13,9.857702965439673,9.566621315192744,0.1458912491798401,0.0,256,15.94511374183479,-5.528687301219484,-0.33740413926796686,0.583648681641625,nan,nan,0.059207371502062234,V16.2,0.026348225121359224,18.14217366678975,LJ028-0157,,1665.7024292852946,256
0.36591516394648294,18.04638250227892,4.627936507936508,silence_002,silence,19.925409648001555,13,9.964789854362337,9.775600907029478,0.14589138329029083,0.20285811390366407,256,15.077105017410993,-60.92009715270961,-2.0060442928121054,0.583648681641625,20.220433934499628,15.573194376901846,0.0585710978517177,V16.2,0.04664767666270784,18.220190321459178,LJ028-0157,,1665.7025755365964,256
nan,nan,nan,full_003,full,19.925409648001555,13,6.075466582377949,4.365351473922902,0.04051505774259567,0.0,256,21.318391561582892,1.672365893660013,13.102530772937072,0.428222656251,nan,nan,0.07048391270672043,V16.2,0.012155086436170214,21.04379406933175,LJ036-0177,,760.6935598273969,256
0.2752333671124027,27.140101144768604,3.353968253968254,silence_003,silence,19.925409648001555,13,6.250678552202857,4.620770975056689,0.04051527380943298,0.2511656957672945,256,18.24262696071916,-60.993394752899164,8.689989496084964,0.428222656251,17.053820513233447,20.948138776296084,0.06850818717814812,V16.2,0.06589588567839195,20.985121189656645,LJ036-0177,,760.6958378811572,256
nan,nan,nan,full_004,full,19.925409648001555,13,10.07589195849844,9.334421768707482,0.06327623873949051,0.0,256,15.560268202345085,-16.266399311245976,-6.201346215874453,0.60357666015725,nan,nan,0.05990305003599127,V16.2,0.061528296019900494,20.693381710911098,LJ037-0235,,1077.47020642467,256
0.15106460570840838,7.823678398450927,7.433605442176871,silence_004,silence,19.925409648001555,13,10.249841096733585,9.659501133786849,0.06327623128890991,0.32729094388426716,256,13.189989688499361,-61.00084891263123,-9.382510992819242,0.60357666015725,17.01017786734072,19.107044246525067,0.05888644072144179,V16.2,0.09326641376201923,20.60111699041876,LJ037-0235,,1077.470133165582,256
nan,nan,nan,full_005,full,19.925409648001555,13,9.825377418907877,8.092154195011338,0.06566502898931503,0.0,256,19.774176242542733,-1.1538197820899634,8.732057204338096,0.685394287110375,nan,nan,0.06975755310748494,V16.2,0.01601170193687231,21.026289370491504,LJ020-0041,,1081.930778293442,256
