checkpoint_best_snr,checkpoint_epoch,clean_phase_coh_3500_9000_mean,clean_snr,clean_snr_3500_9000_mean,delta_phase_coh_3500_9000_mean,delta_snr,delta_snr_3500_9000_mean,mode,noise_rel_rms,noisy_phase_coh_3500_9000_mean,noisy_snr,noisy_snr_3500_9000_mean,run,sample,variance_scale
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0008468230565389367,0.8755261529417417,0.04887296281635223,pca,0.05494313938280503,0.7842775384585062,21.257382407406944,7.985866742062758,V16.3,LJ034-0124,0.005
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0010318060715993616,1.5834157664751238,0.0852016811914087,pca,0.07687343975606732,0.7840925554434458,20.54949279387356,7.949538023687701,V16.3,LJ034-0124,0.01
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0038454830646514893,2.93503853040097,0.27359138011047257,pca,0.1101290836317634,0.7812788784503937,19.197870029947715,7.761148324768637,V16.3,LJ034-0124,0.02
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.008939812580744388,5.106950225872605,0.5572407534196717,pca,0.17267043841817328,0.7761845489343008,17.02595833447608,7.477498951459438,V16.3,LJ034-0124,0.05
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.014315495888392094,7.380744232392651,1.171978326926955,pca,0.24373904644348954,0.7708088656266531,14.752164327956034,6.862761377952155,V16.3,LJ034-0124,0.1
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0,0.0,0.0,channel_iso,0.0,0.7851243615150452,22.132908560348685,8.03473970487911,V16.3,LJ034-0124,0.0
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0015813211599985388,0.307070014230284,0.10848584987028254,channel_iso,0.07041373179690953,0.7835430403550466,21.8258385461184,7.926253855008827,V16.3,LJ034-0124,0.005
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0016008218129476282,0.5755483879692633,0.22914681063024922,channel_iso,0.09991629484015072,0.7835235397020975,21.557360172379422,7.805592894248861,V16.3,LJ034-0124,0.01
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0045426289240518836,1.037081747680876,0.37381094124293135,channel_iso,0.1405756731420638,0.7805817325909933,21.09582681266781,7.6609287636361785,V16.3,LJ034-0124,0.02
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.010929673910140991,2.312350649507465,0.9658704362995021,channel_iso,0.22376026761250603,0.7741946876049042,19.82055791084122,7.068869268579608,V16.3,LJ034-0124,0.05
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.015094647804896,3.968139736114164,1.541254448833639,channel_iso,0.31564622475329324,0.7700297137101492,18.16476882423452,6.493485256045471,V16.3,LJ034-0124,0.1
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.0,0.0,0.0,pca,0.0,0.9551436503728231,21.13036110708559,9.984555997516717,V16.3,LJ027-0059,0.0
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.00044516722361254146,1.1784828099013076,0.07931483585253041,pca,0.07160916918126212,0.9546984831492106,19.951878297184283,9.905241161664186,V16.3,LJ027-0059,0.005
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.0015927950541179126,2.1659589794822978,0.21777974849566917,pca,0.10107768429551156,0.9535508553187052,18.964402127603293,9.766776249021047,V16.3,LJ027-0059,0.01
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.0020145177841186523,3.5892865377068297,0.33393169032726355,pca,0.14238747586159017,0.9531291325887045,17.54107456937876,9.650624307189453,V16.3,LJ027-0059,0.02
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.00621507565180468,6.496376513915095,0.7602873921772861,pca,0.22773937615581635,0.9489285747210184,14.633984593170496,9.22426860533943,V16.3,LJ027-0059,0.05
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.01064697901407885,8.881609924063277,1.3910582442442596,pca,0.3199609159220464,0.9444966713587443,12.248751183022314,8.593497753272457,V16.3,LJ027-0059,0.1
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.0,0.0,0.0,channel_iso,0.0,0.9551436503728231,21.13036110708559,9.984555997516717,V16.3,LJ027-0059,0.0
20.732428689374803,13,0.9551436503728231,21.13036110708559,9.984555997516717,0.00048200289408373287,0.2502143455986179,0.07620381216341343,channel_iso,0.07045884020337609,0.9546616474787394,20.880146761486973,9.908352185353303,V16.3,LJ027-0059,0.005
