run,epoch,sample,seconds,full_snr,lsd,band_lo,band_hi,band_snr,mag_ratio_db,mag_l1_db,phase_mae_deg,phase_coherence,complex_corr
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,3500,5000,-0.816463486452436,0.49973048964984756,7.656052277258055,76.45445110636732,0.18327050986645851,0.12141356876088781
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,5000,7000,-0.7566543502170785,-0.9249882598645963,8.58198491243586,76.69686154031669,0.15781418392418192,0.1171581785747548
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,7000,9000,3.243533642322727,0.19430073094360067,7.690945120517509,22.09237492757653,0.8190098983637957,0.74525067752198
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,9000,11025,-1.8926571726874128,0.6871320875016272,8.849637816685531,93.22546156917542,0.04870691558350962,0.03176898442202233
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,0,250,21.139639390802166,1.216453761461686,4.8948657225968555,2.2135030155153763,0.9992423829584031,0.998419768912032
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,250,500,20.084691667952605,-0.3597338854857936,1.976541443488732,0.7626531820127951,0.9997143178863838,0.9993409374608416
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,500,1000,19.839476986410997,0.13229347365193525,2.6968026203024573,1.2552541258063012,0.9993314966620143,0.9983930377370503
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,1000,1500,16.921808992991053,0.6912599539202209,3.6656671191194268,3.091134579988765,0.995247097004904,0.9916144499094591
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,1500,2500,15.680681607727259,0.2798500015893382,3.493254370816376,2.5314019709606126,0.9960547310731569,0.9902630447885843
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,2500,3500,7.9754055998294024,-0.03753488211533148,4.641476267141036,9.246056607178291,0.9607774550313958,0.916996369813259
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,3500,5000,0.24945415762078788,-0.35070472014983095,6.421910497013163,50.270914358733656,0.5321480445986536,0.4435842021426056
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,5000,7000,1.078219641322545,-0.15286591665151963,7.960374851343928,39.01219386374484,0.6040761738879067,0.5368062726362951
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,7000,9000,11.084579659938969,-0.016598546734938723,6.9735887649452994,4.669825253279251,0.9715361313310865,0.9608894126240476
V16.2,5,0,2.972154195011338,14.062235546183143,9.059842313279912,9000,11025,-2.380339259014447,-0.5202320747348393,8.345456528519307,88.86847685822183,0.12187391921505157,0.08895988022276925
V16.2,7,0,2.972154195011338,17.232581101666778,8.57753308630535,0,250,17.345679128302688,2.455052934219105,5.047575813118509,0.6462427840764091,0.9995336784169847,0.9988358697634385
V16.2,7,0,2.972154195011338,17.232581101666778,8.57753308630535,250,500,19.92849367044481,1.569861662502111,2.435116421767456,0.6529340377249585,0.999696594357877,0.9991696328658868
V16.2,7,0,2.972154195011338,17.232581101666778,8.57753308630535,500,1000,21.40487273630422,1.6854030579119603,3.2779771708399084,1.2934897698722407,0.9990976561920915,0.9972608574580857
V16.2,7,0,2.972154195011338,17.232581101666778,8.57753308630535,1000,1500,21.960334032735606,1.8639414716982718,4.121568630054301,1.078944724252434,0.9993562484759191,0.998415913414459
