checkpoint_best_snr,checkpoint_epoch,clean_hf_phase_coh,clean_hf_snr,clean_snr,delta_hf_phase_coh,delta_hf_snr,delta_snr,mode,noise_rel_rms,noisy_hf_phase_coh,noisy_hf_snr,noisy_snr,repeat,run,sample,variance_scale
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0007138252258300781,0.25067653500641285,0.8604431758160267,pca,0.0660298907068848,0.9856521487236023,13.440058475222534,19.182358792138626,14,V16.3,LJ027-0018,0.005
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.000682532787322998,0.26647780844849756,0.8380591060910376,pca,0.06606718222205395,0.9856834411621094,13.42425720178045,19.204742861863615,15,V16.3,LJ027-0018,0.005
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0013074874877929688,0.5034172165471933,1.6327856525199458,pca,0.09426679015729864,0.9850584864616394,13.187317793681753,18.410016315434707,0,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0015265941619873047,0.5313438014100935,1.612789315647209,pca,0.0935324975041042,0.9848393797874451,13.159391208818853,18.430012652307443,1,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0009990334510803223,0.4160504625550825,1.5407908749613277,pca,0.09349597347139253,0.985366940498352,13.274684547673864,18.502011092993325,2,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0012668967247009277,0.49271217710261617,1.4898875343243034,pca,0.09285141019107478,0.9850990772247314,13.19802283312633,18.55291443363035,3,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0011329054832458496,0.4376011185098978,1.5721219787141898,pca,0.09354355738375639,0.9852330684661865,13.253133891719049,18.470679989240463,4,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0011143684387207031,0.4359090907172618,1.54484938611769,pca,0.09313086529357313,0.9852516055107117,13.254825919511685,18.497952581836962,5,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0012930035591125488,0.46007164990596117,1.4861990914381558,pca,0.09328684212572673,0.9850729703903198,13.230663360322986,18.556602876516497,6,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0013956427574157715,0.49483834232107604,1.5374238398965439,pca,0.09367824801371176,0.9849703311920166,13.19589666790787,18.50537812805811,7,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0013160109519958496,0.4854182665364455,1.5834331950017138,pca,0.09353347337583821,0.9850499629974365,13.205316743692501,18.45936877295294,8,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0012717247009277344,0.5017614846585783,1.543002043843007,pca,0.09326007681035522,0.9850942492485046,13.188973525570368,18.499799924111645,9,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0013600587844848633,0.5184259983484854,1.5635935900071551,pca,0.09294083460403459,0.9850059151649475,13.172309011880461,18.479208377947497,10,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0013834238052368164,0.493902229072134,1.5207175580513699,pca,0.09295016637749111,0.9849825501441956,13.196832781156813,18.522084409903282,11,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0012401342391967773,0.47871935241778907,1.525641486387368,pca,0.09266292463178176,0.9851258397102356,13.212015657811158,18.517160481567284,12,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0014494061470031738,0.5357281989186049,1.4669696467482005,pca,0.09295046117207743,0.9849165678024292,13.155006811310342,18.575832321206452,13,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0012595057487487793,0.4770889981872859,1.511686049769665,pca,0.09304400254391511,0.9851064682006836,13.21364601204166,18.531115918184987,14,V16.3,LJ027-0018,0.01
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0012331008911132812,0.4903647583998545,1.4987387014666531,pca,0.09257997553439037,0.9851328730583191,13.200370251829092,18.544063266488,15,V16.3,LJ027-0018,0.01
