component,explained_variance_ratio,cumulative_variance,eigenvalue,pca_score_std,max_abs_channel,max_abs_value,l2_norm
26,0.006929260976897974,0.4271447434245877,0.08146886345886158,0.28542750998959715,169,0.1529477368047186,1.0
27,0.006534316421836778,0.43367905984642446,0.07682541242744935,0.2771739750183075,189,0.21409401210208642,1.0
28,0.006288444104560295,0.4399675039509848,0.07393463687269762,0.27190924381619985,310,0.170300703713722,1.0
29,0.006267527312756249,0.44623503126374103,0.07368871349628525,0.2714566512286727,177,0.16022705626621714,1.0
30,0.006098634889354833,0.4523336661530959,0.07170300768621402,0.2677741729260199,332,0.19068464134216678,1.0
31,0.0059265026471385235,0.4582601688002344,0.06967921060529268,0.2639681999887348,177,0.2239368307967475,1.0
32,0.0058374603367831665,0.4640976291370176,0.06863232034548179,0.2619777096347737,266,0.14616040840366162,1.0
33,0.005750616804605264,0.46984824594162283,0.06761128161005607,0.26002169449885537,160,0.15717915719126074,1.0
34,0.005723975446460153,0.47557222138808297,0.06729805323313118,0.25941868327692047,38,0.1530980081306539,1.0
35,0.005628078917922424,0.4812003003060054,0.06617057640469795,0.2572364212251017,96,0.14409222181838144,1.0
36,0.00548083229925975,0.4866811326052652,0.06443936513835903,0.2538490991482125,107,0.16203344737029923,1.0
37,0.0054216110727148305,0.49210274367798,0.06374308799778952,0.2524739352840002,351,0.14752332059697565,1.0
38,0.005336733593151523,0.4974394772711315,0.06274516458051177,0.25048984925643547,190,0.16004272654664736,1.0
39,0.005259815544690375,0.5026992928158219,0.06184082196612685,0.248678149353993,303,0.17172458888225398,1.0
40,0.005150220417469461,0.5078495132332914,0.06055228766426046,0.2460737443618487,91,0.15108449978602032,1.0
41,0.005100273398692401,0.5129497866319839,0.05996504944845478,0.24487762137127758,106,0.163066185633886,1.0
42,0.005011282266415935,0.5179610688983998,0.05891876090070743,0.2427318703852204,341,0.15857784910093398,1.0
43,0.004980858960570172,0.52294192785897,0.05856106732296819,0.24199394067407595,222,0.18751397324430857,1.0
44,0.004869570717566309,0.5278114985765363,0.0572526266820274,0.2392752111733002,347,0.19470898629375405,1.0
45,0.004739666628672442,0.5325511652052087,0.055725315397876576,0.2360621007232558,313,0.15443647561125998,1.0
46,0.004718886079950071,0.5372700512851588,0.05548099386169727,0.23554403805169272,22,0.1518282086639902,1.0
47,0.004687364226854436,0.5419574155120133,0.05511038441945221,0.23475601040112307,370,0.146576309904692,1.0
48,0.004647867254678685,0.546605282766692,0.05464600972726603,0.2337648599068432,341,0.1411078127891175,1.0
49,0.00450968413535823,0.5511149669020502,0.05302136003983609,0.23026367503328893,17,0.18211291687356543,1.0
50,0.004477623122181294,0.5555925900242314,0.05264441157252149,0.22944370022408872,110,0.1661972977278534,1.0
51,0.00443052294839205,0.5600231129726235,0.052090644346822,0.22823374935977808,44,0.14566479376905792,1.0
52,0.004393497227606485,0.56441661020023,0.051655324707223796,0.22727807792927104,221,0.15988696878364717,1.0
53,0.004380778554332481,0.5687973887545625,0.05150578843491535,0.22694886744576487,333,0.14340453681230317,1.0
54,0.004254707402593033,0.5730520961571556,0.05002354184593487,0.22365943272291217,220,0.17589050110692842,1.0
