channel,mean
201,0.0025199484999496808
202,0.005180095171956665
203,0.004042289815624209
204,0.0037418313933546814
205,0.010389629890613353
206,0.00795218092115512
207,-0.002665919252125027
208,0.009206609643919523
209,0.003597798640342099
210,-0.0014368821996346341
211,-0.002132392101791678
212,-0.0012200911157569123
213,0.0019877115493348017
214,0.003876741585034377
215,0.004965039624658383
216,0.0010033458750581656
217,-0.003406406260718646
218,0.004518449945057753
219,-0.009167143533374968
220,0.006306675546587825
221,0.009937653935236167
222,0.008511634580727935
223,-0.0011173068919604183
224,0.004505040872403496
225,0.004722829823737529
226,-0.001006994615722177
227,-0.003191615074220194
228,-0.000878576723076209
229,-0.009547735495683218
230,0.0010928739282283727
231,0.0006242562750288385
232,-0.0031817384144970477
233,0.0038394719592256183
234,0.020144805033686018
235,-0.004874338022037217
236,0.0037462744484842705
237,0.0029774017544056783
238,0.0006219277939874797
239,-0.007581708139985969
240,-0.00219794974497127
241,-0.002918680331241429
242,-0.005964009465888135
243,0.00620294284781775
244,-0.004086119218731064
245,0.005696457338180436
246,0.0023134331391203725
247,-0.0005154640072319332
248,-0.0009263343130672747
249,0.001963799197738993
250,-0.0037050498854788554
251,0.005213651254712578
252,-0.005575355729357285
253,-0.001660436621377281
254,0.0017249733475656484
255,0.0014916069887292273
256,0.0006063242638888162
257,0.002641560138474612
258,-0.004925058066280125
259,0.0068329782067621525
260,-0.004326312702950024
261,-0.0026728411892784467
262,0.010124058147840745
263,0.005269347355311826
264,0.0018154763452064252
265,-0.00018245899151393788
266,0.005885023657062434
267,-0.007374401653544788
268,-0.005586506657668332
269,0.0047126853505510815
270,0.0014011046196759737
271,0.0037073154190070024
272,0.0023899552131841665
273,0.00025948898743586294
274,-0.005262569936603613
275,0.0003815466951003114
276,-0.0020428154517740595
277,-0.005371815434850462
278,-0.0025394678427653836
279,-0.0035701289539827297
280,0.002714858200365963
281,-0.003421411580329759
282,0.0013940027690145824
283,0.0011550977352175014
284,0.0018097173984534655
285,-0.00984964222717343
286,-0.003750628878988318
287,-0.0031735795665330324
288,-0.005657474256501428
289,-0.0011477142601038189
290,-0.002051084107952774
291,0.00591376646038705
292,0.001391744577229168
293,0.003789355709206504
294,0.008093811569652833
295,0.01125500055140824
296,-0.0015959752162388256
297,0.0038499082345437026
298,0.006955429960391077
299,-0.0032529280443123433
300,-0.0008560379238945562
