case_id,case_type,v16_2_snr,v16_3_snr,delta_snr,hf_energy_ratio_3500_9000,spectral_centroid
silence_021,silence,21.662713596300716,22.53943785613407,0.876724259833356,0.05413780361413956,886.6722891659641
full_022,full,20.03784785734908,21.335888913872694,1.298041056523612,0.2098120003938675,2111.1523001760397
silence_022,silence,20.15854150956634,21.238362238982802,1.0798207294164612,0.20982146263122559,2111.2844729027643
full_023,full,18.318808500798283,19.174873915383287,0.8560654145850037,0.14380612969398499,1407.8141021713361
silence_023,silence,18.173329267138747,19.103607184188604,0.9302779170498567,0.14381368458271027,1407.8959699810837
concat_000,concat,19.974827698007577,21.017090552958045,1.0422628549504687,0.11377440392971039,1468.5758481461855
concat_001,concat,19.85639821648554,20.773721213654714,0.9173229971691725,0.15673620998859406,1584.4267098071982
concat_002,concat,20.792853733858504,21.971571418395897,1.1787176845373928,0.08718112111091614,1199.6533167553316
concat_003,concat,18.68748609175023,19.5177319887564,0.8302458970061686,0.17319758236408234,1661.3628780222225
concat_004,concat,20.28308991752003,21.02919616552741,0.7461062480073792,0.12221310287714005,1436.7141144858376
concat_005,concat,20.212971377893734,21.487715644551102,1.2747442666573683,0.06057146564126015,1008.2903987503242
concat_006,concat,20.31361855579663,21.604730647956227,1.2911120921595973,0.12499118596315384,1476.380521511094
concat_007,concat,20.44370396910076,21.468231456371658,1.0245274872708983,0.07279394567012787,1082.4650070639314
concat_008,concat,19.456461610248073,20.370073568872847,0.9136119586247737,0.07169388234615326,1027.2139458368845
concat_009,concat,18.41063054243261,19.309117960678147,0.8984874182455371,0.17063008248806,1818.1782162244465
concat_010,concat,20.6414691602939,21.59219500601353,0.9507258457196279,0.09206975251436234,1222.9046530555443
concat_011,concat,21.162452676136635,22.22765058224661,1.065197906109976,0.03179757669568062,809.1233312963909
